demand_index,time_slot,day_of_week,competition_pressure,operational_cost,seasonality_index,marketing_intensity,dynamic_price
89.0,27.0,3.0,0.09,99.7,0.88,,363.6531156133614
,-4.0,7.0,0.98,184.11,0.55,0.88,440.05259930771314
46.0,1.0,8.0,0.19,104.24,1.24,,296.0860053370559
78.0,15.0,2.0,0.91,102.99,1.1,0.75,325.16995042731645
-3.0,,8.0,1.01,174.56,0.59,0.38,164.46573871405838
63.0,-1.0,3.0,1.36,131.42,,0.72,327.1854339222728
86.0,26.0,7.0,0.73,155.25,1.11,,373.89267751449773
,14.0,5.0,1.31,73.04,1.28,-0.0,319.1679074207636
37.0,10.0,5.0,-0.01,140.94,1.13,0.36,297.87594966900167
76.0,-4.0,0.0,0.44,90.31,0.65,0.28,307.186644231953
93.0,10.0,0.0,-0.18,94.98,0.94,0.87,367.74174997351963
106.0,15.0,3.0,0.47,,0.53,0.0,359.61441667352943
27.0,-4.0,2.0,-0.13,158.68,0.58,0.64,252.37361445968634
53.0,13.0,8.0,1.55,110.01,0.62,,224.5178676568096
12.0,24.0,1.0,0.88,220.5,0.62,0.48,207.4787605673437
91.0,2.0,7.0,0.53,143.33,1.28,0.8,399.9948075276067
63.0,5.0,6.0,0.85,164.39,1.4,1.16,351.2906059842442
58.0,-2.0,7.0,0.48,133.57,0.98,0.2,322.6870305146854
76.0,-3.0,6.0,-0.11,101.61,0.66,,299.649883633092
48.0,20.0,2.0,,161.88,,0.08,228.39107536615248
29.0,23.0,2.0,0.07,107.83,1.01,0.9,301.65985468466295
35.0,16.0,2.0,0.87,109.07,1.0,0.57,180.65532473206343
-18.0,11.0,6.0,-0.07,132.03,0.79,1.15,172.86713982531356
64.0,,0.0,0.97,99.47,1.14,,285.24567990386475
19.0,,7.0,0.24,,,,
46.0,16.0,6.0,1.23,109.57,1.22,1.07,307.760330756211
64.0,10.0,6.0,1.38,148.02,0.77,1.12,282.294073817139
27.0,-1.0,7.0,0.4,179.58,0.68,,288.1566499816615
115.0,22.0,0.0,0.79,198.73,0.83,1.15,408.84330483828023
85.0,,1.0,1.26,90.58,1.09,1.19,294.8017197072697
79.0,25.0,2.0,0.55,6.35,1.07,0.49,266.10744332250124
,6.0,3.0,0.19,79.74,1.45,0.33,378.0813610699426
72.0,7.0,2.0,-0.16,90.65,1.49,,351.7537220498842
82.0,20.0,4.0,1.02,119.9,1.41,0.22,356.61715088349877
77.0,14.0,1.0,0.97,120.82,1.01,0.9,340.12692111637557
98.0,27.0,,0.09,59.41,0.7,1.18,369.19221025576445
74.0,21.0,6.0,0.94,113.61,0.83,-0.1,272.13805786415656
14.0,25.0,6.0,0.77,8.09,0.82,1.04,137.5245314448028
56.0,-2.0,7.0,0.07,145.09,0.79,-0.03,
111.0,23.0,0.0,0.18,95.94,0.66,0.54,367.5093115325907
86.0,25.0,6.0,0.65,114.49,0.87,0.14,331.02386795350975
49.0,8.0,,0.88,87.36,0.85,0.43,256.5185024053263
44.0,16.0,8.0,1.06,24.83,1.13,0.23,213.04001757665068
55.0,7.0,7.0,-0.01,177.15,0.8,0.69,291.5052053301834
,20.0,6.0,0.34,146.33,1.2,-0.14,292.7953095794374
118.0,1.0,0.0,1.55,129.31,0.79,1.23,410.7875264297518
2.0,27.0,0.0,1.37,189.97,1.33,1.04,
126.0,5.0,0.0,,120.36,,0.53,
-5.0,-2.0,2.0,0.43,138.6,,0.23,194.31459023956901
50.0,2.0,6.0,0.91,144.88,1.11,0.08,297.74600422539953
89.0,14.0,8.0,1.38,131.88,1.45,1.11,1073.3647515977816
95.0,15.0,8.0,0.04,,0.6,0.98,394.2728305278103
114.0,11.0,4.0,-0.1,45.46,0.95,,406.8636901395029
-6.0,19.0,,0.9,169.07,1.22,0.72,234.74308100724122
83.0,2.0,5.0,0.8,101.2,0.73,,293.8555797727
109.0,18.0,8.0,1.16,88.79,1.39,0.42,337.618131235881
23.0,-2.0,6.0,0.1,135.9,1.29,0.25,276.26698031204984
81.0,3.0,0.0,1.23,129.18,,1.28,306.24882209628424
5.0,17.0,2.0,1.28,101.76,0.88,0.75,127.15070462090088
36.0,23.0,7.0,0.15,95.43,1.06,1.26,925.1240962378415
29.0,27.0,4.0,0.48,148.28,1.33,,229.97909372630502
-8.0,23.0,0.0,0.54,137.7,0.69,0.76,166.90283925280258
-2.0,9.0,7.0,0.12,102.37,0.57,0.76,
-19.0,,3.0,0.32,212.2,1.26,0.38,188.90513635206307
31.0,-1.0,5.0,0.13,155.68,0.82,0.33,256.42297992593353
97.0,2.0,7.0,,152.51,1.17,0.84,
28.0,10.0,0.0,0.67,61.49,0.89,0.22,130.2678001085379
36.0,8.0,0.0,1.09,112.1,1.47,0.83,
66.0,,6.0,1.35,150.88,0.97,-0.08,236.6878367066281
-17.0,0.0,8.0,1.42,132.87,0.58,0.65,114.20857853157791
,25.0,4.0,-0.14,92.92,1.05,0.53,294.5945751832281
119.0,10.0,8.0,0.8,51.38,0.59,1.3,404.91225077518277
129.0,7.0,0.0,1.53,202.02,1.5,,464.78228981833087
83.0,-1.0,7.0,1.31,108.51,0.74,0.76,321.700141519287
78.0,10.0,7.0,1.37,135.55,0.73,0.12,247.7675753120284
-17.0,26.0,2.0,0.46,,0.97,0.48,211.59225554171712
119.0,23.0,2.0,1.07,142.91,1.05,0.72,427.82273816829064
-17.0,14.0,2.0,0.67,104.64,1.09,0.41,156.0977919643688
-14.0,18.0,2.0,0.88,,1.27,0.67,78.49580902948449
-11.0,10.0,3.0,1.05,131.57,1.11,0.42,191.17272090657485
67.0,24.0,8.0,0.92,182.58,1.0,,378.81543577537127
-6.0,25.0,6.0,1.05,155.27,0.88,0.06,179.68933835498925
101.0,26.0,1.0,0.82,117.44,0.56,0.35,304.96800525332316
,6.0,0.0,0.62,132.49,1.46,0.47,366.81986524332643
7.0,21.0,0.0,0.32,130.76,0.6,0.25,143.92087938707846
18.0,,2.0,0.97,69.36,0.57,1.01,159.10075330232502
,19.0,7.0,0.45,102.32,0.67,1.19,385.53730806496696
,,3.0,1.26,77.7,0.85,1.27,310.61412123101735
54.0,11.0,1.0,1.11,53.39,0.89,1.05,196.69739048584773
79.0,25.0,3.0,0.42,161.14,1.02,1.18,358.2396768520301
96.0,10.0,4.0,0.73,163.51,1.49,1.05,463.7267534791507
,,6.0,0.22,114.22,1.38,0.96,355.7210890718555
27.0,21.0,1.0,1.46,100.15,1.12,1.3,221.2521901979987
-4.0,,6.0,0.34,80.64,0.8,0.68,153.96472046244642
113.0,2.0,2.0,1.46,157.72,0.5,0.58,361.53261124024505
84.0,23.0,8.0,-0.09,54.37,0.87,1.14,320.7862721805381
89.0,16.0,0.0,0.13,113.72,,-0.01,329.9408579941754
66.0,25.0,7.0,0.94,150.45,0.74,0.62,324.3407115209252
,20.0,3.0,0.77,121.56,1.12,-0.09,227.71437437544023
,-4.0,3.0,1.34,117.71,0.86,,159.3006022730737
39.0,3.0,0.0,1.24,166.24,1.25,1.23,305.09934306818445
20.0,5.0,8.0,-0.05,111.47,1.1,0.71,249.07045430293329
25.0,24.0,5.0,0.31,,1.01,0.1,166.32480043762894
-20.0,26.0,4.0,0.81,150.08,0.63,,116.57156649785558
109.0,25.0,,0.2,102.71,1.49,-0.13,413.26652103821885
48.0,2.0,3.0,1.27,126.22,,1.11,241.5645712559857
115.0,6.0,5.0,1.23,85.58,0.78,0.86,346.67288378261696
73.0,6.0,8.0,0.4,111.87,1.18,0.87,367.4094945636733
40.0,13.0,,1.46,126.79,0.79,-0.01,156.35626667861854
45.0,17.0,4.0,1.02,176.12,0.65,1.09,332.98058600461246
96.0,,0.0,0.3,159.88,0.77,,366.36248577133256
47.0,22.0,0.0,0.97,55.79,1.47,1.07,242.6777487093531
,20.0,8.0,0.56,42.93,1.27,0.87,178.00981706392398
